author,type
Charles Bass,Republican
Thomas Brown,Democrat
Florida Democratic Party,Democrat
The David Perdue Files,Republican
David Quiroa,Journalist
Rob Portman,Republican
Jeff Bridges,Person
Republican Party of Virginia,Republican
Diane Allen,Republican
Allen Alley,Republican
Tom Kean,Republican
Michael Denbrow,Democrat
Edwin Pacheco,Democrat
Campaign Money Watch,Organization
Paul Krugman,Person
Duncan Hunter,Republican
Crossroads GPS,Organization
Karl Racine,Democrat
Robert Reich,Democrat
Michael J. Gardiner,Republican
Dick Cheney,Republican
Antonio Villaraigosa,Democrat
Harry Reid,Democrat
Bruce Rauner,Republican
Thomas Ratliff,Republican
Elizabeth Warren,Democrat
Morgan Griffith,Republican
Chris Matthews,Democrat
Jim Spencer,Person
Casey Cagle,Republican
Tim James,Republican
Sonny Perdue,Person
John Fleming,Republican
George Voinovich,Republican
E. Gordon Gee,Person
Charlie Smith,Democrat
Sandra Cunningham,Democrat
Debbie Mayfield,Republican
Sanford Bishop,Democrat
Lawrence O'Donnell,Person
Dana Perino,Republican
Alan Grayson,Democrat
Kirsten Gillibrand,Democrat
Lee Fisher,Democrat
Ginny Brown-Waite,Republican
John Garamendi,Democrat
TriMet,Organization
Chuck Norris,Republican
NARAL Pro-Choice Virginia,Organization
Texas State Employees Union,Organization
Don Zimmerman,Republican
Ellyn Bogdanoff,Republican
Bill Galvano,Republican
Gary Lambert,Republican
Jeff Sessions,Republican
Gerry Connolly,Democrat
Martin O'Malley,Democrat
Steven Rattner,Democrat
Jason Chaffetz,Republican
Anthony Rendon,Democrat
Lincoln Chafee,Democrat
Committee to Protect Florida,Organization
Talmadge Heflin,Republican
Environmental Defense Fund Action,Organization
American Future Fund,Organization
David Simpson,Republican
Pat Toomey,Republican
Frank Guinta,Republican
Josh Mandel,Republican
Democratic Senatorial Campaign Committee,Organization
Joseph Testa,Republican
National Republican Senatorial Committee,Organization
Bill Pascrell,Democrat
Ron Amstutz,Republican
Republican National Committee,Organization
Steve Rothman,Democrat
Dan Forest,Republican
Kathleen Vinehout,Democrat
Committee for Florida's Education,Organization
Bill Nelson,Democrat
Tim Grendell,Republican
Joe Roman,Person
Evan Jenkins,Person
American Crossroads,Organization
Frank Lautenberg,Democrat
Tim Pawlenty,Republican
Mark Warner,Democrat
Ryan Lizza,Person
Ron Dermer,Political
Danny Tarkanian,Republican
Eric Johnson,Person
Tomorrow's Vision of Florida,Democrat
DuBose Porter,Democrat
Ronnie Earle,Democrat
Patricia Fahy,Democrat
Randy Forbes,Republican
Robert Hurt,Republican
Travis Allen,Republican
John Currie,Democrat
Barry Smitherman,Republican
John Robitaille,Republican
William O'Brien,Republican
Julian Assange,Person
Stuart Sternberg,Person
Steve Buckstein,Journalist
Michael Turner,Republican
Michelle Obama,Democrat
Charles Schumer,Democrat
Nancy Nusbaum,Democrat
Mike Huckabee,Republican
Robert Gibbs,Democrat
Karen Huber,Democrat
A C Wharton,Democrat
Kirk Watson,Democrat
David Bowen,Democrat
John Barrasso,Republican
Devin Nunes,Republican
Bill McCollum,Republican
We Are Wisconsin,Organization
Nelson Wolff,Democrat
Jim Justice,Republican
Chris Moews,Democrat
Van Jones,Democrat
Matt Lundy,Democrat
Pat Robertson,Republican
James Langevin,Democrat
Janet Adkins,Republican
John Kirby,Democrat
John Kitzhaber,Democrat
Brigid Shea,Democrat
Raphael Warnock,Person
Delaine Eastin,Democrat
Florida Education Association,Organization
Jim Marston,Organization
Jon Husted,Republican
Richard Codey,Democrat
John Lewis,Democrat
Civitas Institute,Organization
Republican Party of Florida,Organization
Carolyn Medeiros,Journalist
Chris Larson,Democrat
Akbar Al Baker,Person
Helen Glover,Journalist
PlantsNeedCO2.org,Organization
Peter King,Republican
Steve Lonegan,Republican
Tony Evers,Democrat
Roy Cooper,Democrat
Jim Kenney,Democrat
Progressive Change Campaign Committee and Democracy for America,Organization
Donald Carcieri,Republican
Matt Wingard,Republican
Jon Richards,Democrat
Jeff Stone,Republican
Peter Roskam,Republican
Ron Stephens,Republican
Lisa Blais,Political
Mark Pocan,Democrat
Tom Price,Republican
Sondy Pope,Democrat
Karen Lewis,Person
Elijah Cummings,Democrat
Jon Erpenbach,Democrat
President Trump's lawyers,Republican
House Natural Resources Committee Republicans,Organization
Jon Huntsman,Republican
Boyd Richie,Democrat
John Cornyn,Republican
Ann Wagner,Republican
Mike Pence,Republican
Jerry Brown,Democrat
Robert Gates,Republican
Jeff Fitzgerald,Republican
Pat Boone,Person
Kathleen Falk,Democrat
Virginia Tea Party Patriots,Organization
Doug Whitsett,Republican
Ron Klein,Democrat
Silvestre Reyes,Democrat
Conservative Solutions PAC,Organization
Wisconsin Manufacturers and Commerce,Organization
Laurence Ehrhardt,Republican
True The Vote,Organization
Freedom PAC,Republican
Richard Cordray,Democrat
Brian Wilson,Person
Gwen Graham,Democrat
Texas Public Policy Foundation,Organization
Rob Turner,Republican
Jay Webber,Republican
Seth Magaziner,Democrat
John Oliver,Person
Matthew Dowd,Political
Bill Flores,Republican
Danielle Pletka,Person
Jon Kyl,Republican
Frank Caprio,Democrat
Pete Hoekstra,Republican
Reince Priebus,Republican
Austan Goolsbee,Democrat
André Carson,Democrat
Dana Loesch,Person
Juan Williams,Democrat
Glenn Grothman,Republican
Lisa Moore,Person
