feature;mi_score
the;0.6285007122636085
to;0.39528489478056167
in;0.37954377922171856
of;0.36668504139753394
and;0.2601990396926166
is;0.1855235660252893
that;0.182547014904686
obama;0.16480819501665483
for;0.1552895209692248
we;0.1552212359591733
united;0.15237550444182466
are;0.15219697809880633
states;0.15028454497985738
united states;0.14684939692524185
on;0.14188725266406826
not;0.13796402254410745
has;0.13415617654180984
have;0.1269622423465572
was;0.12235742788261378
president;0.11570694732636776
the united;0.10849794329401793
of the;0.1083907218768459
the united states;0.10433290027496428
in the;0.10007029224984894
it;0.09567336048561748
from;0.09448307137699029
our;0.08908879547409924
with;0.08688256520870058
more;0.08391984653242031
than;0.08369927043263878
military;0.08143005724628824
iraq;0.07472496843177859
by;0.07459992536933541
we are;0.0693794092074063
said;0.06639193668730822
war;0.06283562599258286
he;0.061845361899554224
barack;0.060777998971635445
barack obama;0.060777998971635445
about;0.059493845384819846
clinton;0.05929724381762252
as;0.058527648385915586
at;0.05795854423866747
they;0.05786811590917281
people;0.05555099281512741
an;0.05439491409933529
there;0.052308639986349034
this;0.04897549909215796
had;0.048974903238587
iran;0.04829898862173083
to the;0.04639227900399831
you;0.04493087808056538
one;0.04467222905830349
been;0.044026868332041745
years;0.04325833943931842
state;0.04279306799112167
hillary;0.04271744387031469
percent;0.04253916496635869
his;0.04156366221212387
when;0.04144136285841095
hillary clinton;0.04100843710397977
trump;0.040643940583421315
isis;0.04022291416524184
troops;0.040093668818024904
american;0.03978319352747908
against;0.0396272770399238
or;0.0396110309980464
now;0.039202509736969884
their;0.03909525756016591
administration;0.03884615777195267
who;0.038780385735926064
no;0.03628849096228952
in iraq;0.03611753923201936
country;0.03581963706498206
year;0.03565779703694898
world;0.034938030864126
terrorists;0.0342169986436795
would;0.03390466868795541
out;0.03357647459016892
nuclear;0.03295940763228513
terrorist;0.03292599698189874
any;0.03262490765565193
percent of;0.03244354520489919
will;0.03208684850195817
did;0.03184668052936597
first;0.031724842021245085
be;0.03149184995482876
all;0.031297025685215134
on the;0.03126322655331268
do;0.03119305210443537
because;0.031103530596270627
government;0.03101522371774105
afghanistan;0.030515157284321498
foreign;0.03043016044614049
last;0.02953275091292309
john;0.029431301890630486
mccain;0.029267869515214408
for the;0.029203461177829786
defense;0.02898729366254449
bush;0.028688431083512926
even;0.028049085433641936
million;0.02802769196939569
we have;0.027900790752316225
into;0.0276975973095573
since;0.02746138554157538
president barack;0.02738095177003435
president barack obama;0.02738095177003435
president obama;0.027219534954433494
if;0.027005435500197808
over;0.02657946901400734
up;0.02643766655353992
syria;0.026111324225818286
donald;0.025788551297417237
donald trump;0.025788551297417237
before;0.025718196398635818
countries;0.025697800019466963
under;0.025526981421419348
more than;0.025322483724080615
china;0.02505135565163283
going;0.025047882541089875
them;0.024795626654522562
11;0.02452476217290732
budget;0.024457008741728188
security;0.024350482625484768
america;0.024040853616916526
attack;0.023769267053493456
what;0.023644081943812095
down;0.02352715057831723
billion;0.023461347359053406
just;0.023249928360369453
during;0.023091615395191105
spending;0.023020068476095806
of our;0.022855131375896627
it is;0.022813613560499373
but;0.022763710597241797
attacks;0.022732079359950412
the world;0.022611079259889172
never;0.02236395997758668
from the;0.022053525037498932
department;0.02203414925017641
americans;0.021788876939604733
in the united;0.021730808656663367
did not;0.02150729253085195
obama administration;0.021482230618468406
obama has;0.021097358422116096
made;0.02082269150876518
the military;0.020719203147911376
time;0.020682407057350277
the obama;0.020655596026667215
national;0.020638588969797114
so;0.020638588969797114
bill;0.020529964825535797
benghazi;0.020513982567575736
only;0.020436584511633757
new;0.020412084983318986
the obama administration;0.020215455351218013
says;0.01999308139393812
after;0.019846701885622497
russia;0.01983009883319932
terrorism;0.019594799985438303
deal;0.019568712712799127
have been;0.0194546635688444
the president;0.01932553488999809
islamic;0.019253769746923784
in afghanistan;0.01901811776719707
at the;0.01899736743063122
back;0.01877277848905584
the last;0.018730746337900388
refugees;0.018540755758948337
john mccain;0.018536225824177438
us;0.01845931331375702
al;0.01828362212767299
other;0.01784743546711568
three;0.017799730169259557
the war;0.017711094216575976
by the;0.017666200274774092
federal;0.017615998413832108
very;0.017615998413832108
two;0.017573628916021253
north;0.017317860780883716
congress;0.017275811307990073
many;0.017239630339995836
every;0.01694273441100356
war in;0.016900339969060034
israel;0.01679339124062571
get;0.016754784596099186
going to;0.01675346780964533
being;0.01671846334437143
