feature;mi_score
the;0.5982127230316343
in;0.37165370102436923
of;0.36752039996718383
to;0.3477356218754047
and;0.27613911403692754
is;0.21296031499921786
that;0.20490072320282382
for;0.15599641956628718
on;0.14497750244574215
oil;0.14262130658973116
have;0.14008214041360184
in the;0.1345339426129566
we;0.13437165780386398
are;0.1340626419658355
has;0.13333393264580465
than;0.11142917882469161
not;0.10165196030917606
more;0.09737067758219983
by;0.09496585243343215
it;0.09463050725336397
energy;0.09107445257988818
from;0.08944149856614861
of the;0.087745049989128
obama;0.08205719164376629
gas;0.08020910234391451
states;0.07668005090101636
united;0.07102393219366976
united states;0.06984472915072101
with;0.06983916291715933
would;0.06978916410662239
percent;0.06511517454759952
our;0.06487052647700142
be;0.06451477630177932
climate;0.061833844424891385
years;0.05830949174719045
was;0.056920816935563306
the united;0.05686841400101256
change;0.05650803777337822
the united states;0.05568688440127115
will;0.05437091484871054
state;0.05322991339776953
climate change;0.050372207558801826
year;0.049872251742937926
we are;0.04869499243732008
president;0.047864787944076295
no;0.04747511604441453
as;0.047178594021715675
one;0.04671899422210461
they;0.04550832457272046
every;0.0447482955058096
new;0.04457464850881584
been;0.04445852429237468
an;0.04419335766300293
you;0.04397340671261549
at;0.04358456526710798
there;0.042861315794257615
jobs;0.04275147535213177
we have;0.042679477948819586
this;0.041614461167615135
billion;0.041447134888511324
water;0.040879597500212986
all;0.040828611048956374
up;0.03990341907826399
million;0.03985115440324548
now;0.03979258077500472
over;0.0396930899336804
power;0.03944218866497324
drilling;0.03941184108113549
global;0.03802251798722239
to the;0.037366778824843794
for the;0.03728467158224946
he;0.036609075946679594
trade;0.03647122275668624
warming;0.036347127899480816
tax;0.03603231065673167
bill;0.03591361671343202
coal;0.035905934352555
only;0.03545102575792587
cap;0.03512578821527419
because;0.0350095432724553
cap and;0.034524447951639795
and trade;0.03392396385693165
cap and trade;0.03392396385693165
people;0.033675943395959404
if;0.033324333425573796
world;0.03296636875276887
companies;0.0328194058484627
global warming;0.032594081484322746
since;0.03256130753088486
into;0.03235231740851631
time;0.03228540267140302
said;0.03198647363143971
percent of;0.03161845636842236
most;0.031515522912135364
or;0.031020648333101766
more than;0.030806195579503492
do;0.030616074961840267
out;0.03044474736506952
texas;0.02975502574547677
first;0.029496056905653864
but;0.029369821364108543
about;0.029264251047430013
pipeline;0.028243698146379052
the world;0.028149105505692936
country;0.027898261812804852
day;0.02770432246502853
voted;0.027143781289326
government;0.026805565940391046
on the;0.026568277098115965
federal;0.02648892798562048
oil and;0.026431146152720814
in the united;0.026106548307075584
florida;0.02609980739809305
solar;0.025723932389724008
could;0.025612457478570508
wind;0.02535557559833249
carbon;0.02523722152228057
epa;0.02521501500045025
keystone;0.025113506872845998
just;0.025001160527305735
when;0.024788505775741456
last;0.02465188782941875
cost;0.024412804078960664
other;0.023880918311997842
nearly;0.02371967626654185
had;0.023636771758108206
against;0.023545076088110878
natural;0.023459363271144763
it is;0.023280292341255785
their;0.022694853131075717
so;0.022567284819279186
american;0.022563242520906055
the first;0.02252976620073622
prices;0.022379357504920715
america;0.022354741159212068
any;0.022236933712870867
to be;0.021956760163809198
by the;0.021852117420771176
down;0.02169598022478883
is the;0.02149682583742398
and gas;0.020873915097178862
under;0.020767194172881094
money;0.0206587817623966
company;0.02027786013808027
the keystone;0.02027786013808027
can;0.020070023991756742
average;0.01980244601139012
clean;0.019637953411583888
three;0.019476828810072545
environmental;0.019438086665169878
coast;0.01924276806508371
its;0.019107867887837485
going;0.019062338135943234
has been;0.019056623970522074
clinton;0.018957166402501145
trump;0.018957166402501145
administration;0.01894003826334912
oil and gas;0.01891041811239633
barack;0.018871996698105006
barack obama;0.018871996698105006
times;0.01871271575780805
offshore;0.0186060255293416
record;0.0186060255293416
natural gas;0.018530824260635886
10;0.018504520344515347
going to;0.018455862270198263
out of;0.01825825960434839
two;0.01798557628027967
electric;0.01784789068527309
oil companies;0.017790989459194075
the oil;0.017790989459194075
plan;0.01775942436826705
is not;0.017724570025538993
gallon;0.017645393165744358
off;0.01734325112394209
did;0.01730387788641528
the last;0.017255002637505002
which;0.017255002637505002
already;0.016935098682067013
plant;0.016786044601422304
electricity;0.016728303074916857
nuclear;0.016728303074916857
president obama;0.01666505802120162
there is;0.01666505802120162
john;0.016648343152200085
national;0.01642226209845947
your;0.016302999761459273
five;0.016220228723616666
proposed;0.016220228723616666
wisconsin;0.016220228723616666
that is;0.01619570997578426
his;0.016028285766537437
them;0.015951871144129128
one of;0.015928612826826505
gasoline;0.015915298977752988
who;0.015811992420528928
in the world;0.01568390116250078
increase;0.015610641661062737
from the;0.015501015210417975
earth;0.015448811473342719
