feature;mi_score
than;0.011465519286942045
that;0.008716349238864923
the;0.00847940837959684
africa check;0.00839933124607542
check;0.00839933124607542
is;0.008302169882611055
created;0.007740680096522076
africa;0.007170210527966364
oil;0.007163207729389831
percent;0.0071354926373796874
to;0.0070989879060555285
and;0.006958484741090707
does;0.006655701648663929
one in;0.006434796891360086
of;0.006150014211462008
went;0.006132604627651285
billion to;0.006008783891022985
years;0.005998937697084022
number;0.005926740159463561
enough;0.005908029867465193
15 years;0.005827050640658107
electric;0.005699731002003324
we;0.005667360963694693
billion;0.005558565142258852
does not;0.00555239950443307
deal;0.005527962307385285
and gas;0.005441347411263782
if you;0.0054127713849283455
day;0.005344228539844911
states;0.005245147636920999
your;0.005227214593354901
going;0.005204159803452048
going to;0.005191926036254704
scientists;0.0051644950187921465
warming;0.005145521412675595
do;0.005137356521329291
prices;0.005073833514466263
was;0.004958289945981444
quality;0.004910422341123821
are not;0.004802339831946296
created by;0.004802339831946296
harvey;0.004802339831946296
order;0.004802339831946296
that are;0.004802339831946292
hottest;0.004749012137673163
years ago;0.004749012137673163
oil and;0.00468513186587556
in the country;0.004636375696272798
in our;0.004622441969206219
the earth;0.004555179455899062
took;0.00454348857570906
percent of;0.004541450518556426
evidence;0.0044900104777110695
going to be;0.004462576586271213
since;0.004451691339152106
other;0.00443434104053838
so;0.004426967145404841
epa;0.004413944009246752
three;0.004405461846137501
be;0.004352530546178884
plant;0.004323209942841379
months;0.004322153252953299
coal;0.004314331977681896
vote;0.004293612870183705
was the;0.004293612870183705
in the;0.004259008734662752
we are going;0.004225355832330753
oil and gas;0.004216887537183042
human;0.004207352809285656
show;0.004207352809285656
sun;0.004205995850725713
rick;0.004171592007559491
claims;0.004162735700981064
on record;0.004162735700981064
production;0.004159073827083493
lakes;0.004140303080434744
his;0.004125202775110162
higher;0.004119316614098778
island;0.004084045382868285
would;0.004076034519010988
the average;0.004071787378629472
not;0.004008236864104624
never;0.003980415461037718
increase;0.003978947189401536
you;0.003974186727979728
green;0.0039713130043704
much;0.0039316756576184934
past;0.003928781769719281
alaska;0.003922065698410777
are going;0.003914792369283951
are going to;0.003914792369283951
that has;0.003914732756638149
raised;0.0038838062217703903
is number;0.0038787239312956037
more coal;0.0038787239312956037
passed;0.0038787239312956037
34;0.003878723931295602
all the oil;0.003878723931295602
annual;0.003878723931295602
are one;0.003878723931295602
are one of;0.003878723931295602
article;0.003878723931295602
be enough;0.003878723931295602
block island;0.003878723931295602
buy from;0.003878723931295602
buy from the;0.003878723931295602
by over;0.003878723931295602
come in;0.003878723931295602
come in the;0.003878723931295602
desert;0.003878723931295602
either;0.003878723931295602
five years ago;0.003878723931295602
from the rest;0.003878723931295602
generation;0.003878723931295602
ground;0.003878723931295602
has passed;0.003878723931295602
have come in;0.003878723931295602
in oil and;0.003878723931295602
in south;0.003878723931295602
in south florida;0.003878723931295602
increased by;0.003878723931295602
island by;0.003878723931295602
last 15;0.003878723931295602
last 15 years;0.003878723931295602
miles of;0.003878723931295602
nearly two;0.003878723931295602
newspaper;0.003878723931295602
nothing to;0.003878723931295602
number one in;0.003878723931295602
of wolves;0.003878723931295602
on record have;0.003878723931295602
one in the;0.003878723931295602
or 15;0.003878723931295602
other fuels;0.003878723931295602
over million;0.003878723931295602
park;0.003878723931295602
past three;0.003878723931295602
past three years;0.003878723931295602
people working;0.003878723931295602
people working in;0.003878723931295602
photographs;0.003878723931295602
record have;0.003878723931295602
record have come;0.003878723931295602
skyrocket;0.003878723931295602
south florida;0.003878723931295602
spends more;0.003878723931295602
stood up to;0.003878723931295602
than there;0.003878723931295602
than we buy;0.003878723931295602
that in the;0.003878723931295602
the company;0.003878723931295602
the electricity;0.003878723931295602
the ground;0.003878723931295602
the last 15;0.003878723931295602
the oil that;0.003878723931295602
the past three;0.003878723931295602
understand;0.003878723931295602
we buy;0.003878723931295602
